PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40642068,The influence of ,2025-01-01,Valli De Re; Mariateresa Casarotto; Giulia Brisotto; Stefania Zanussi; Mariangela De Zorzi; Ombretta Repetto; Elena Muraro; Paola Spessotto; Paolo Baldo; Agostino Steffan; Stefano Realdon; Renato Cannizzaro,Molecular Oncology Unit; Pharmacy Unit; Division of Oncological Gastroenterology; Immunopathology and Cancer Biomarkers Unit,
40642066,Rational therapeutic targeting of myeloid cells in glioblastoma: challenges and perspectives.,2025-01-01,Faruk Akay; Maya Saleh,Institut National de la Recherche Scientifique (INRS),
40641448,"Negative impact of corticosteroid use on outcome in patients with advanced BTCs treated with cisplatin, gemcitabine, and durvalumab: A large real-life worldwide population.",2025-Jul-11,Federica Lo Prinzi; Francesca Salani; Jessica Lucchetti; Guido Giordano; Alessandro Pastorino; Alessandro Parisi; Anna Diana; Antonio Avallone; Ester Oneda; Nuno Couto; Gian Paolo Spinelli; Nicola Personeni; Maria Grazia Rodriquenz; Mariam Grazia Polito; Emanuela Di Giacomo; Linda Bartalini; Giada Grelli; Matteo Landriscina; Lorenzo Fornaro; Gianluca Masi,Medical Oncology Unit 1; Unit of Medical Oncology and Biomolecular Therapy; UOC Oncologia Territoriale; Clinical Experimental Abdominal Oncology Unit; Dipartimento di Oncologia Medica; Medical Oncology Unit; Oncology Unit; Clinica Oncologica e Centro Regionale di Genetica Oncologica; Operative Research Unit of Medical Oncology; Digestive Unit; Unit of Medical Oncology 2,
40641447,Hymenoptera anaphylaxis and mast cell activation disorders.,2025-Jul-08,Iván Álvarez-Twose,Spanish Network on Mastocytosis (REMA).,
40641297,Engineering DNA Origami Captors for TGFβ1 Sequestration to Enhance Tumor Immune Modulation and Therapy.,2025-Jul-11,Jiahui Jin; Yao Sheng; Yarong Liu; Jingwei Sun,Grit Biotechnology Co.,
40641219,Innovative strategies for T cell engagers for cancer immunotherapy.,2025-Dec-01,Cristina Bergamaschi; Miguel Gaspar; Thomas Ciucci; Suzanne I Sitnikova; Corinne Cayatte; Mike Pica; Simon J Dovedi,Oncology R&D,
40641125,Emerging role of circular RNAs in gastric cancer: From basic biology to clinical applications (Review).,2025-Sep-01,Nan Wang,Atrium Health Wake Forest Baptist Comprehensive Cancer Center,
40640807,Neutrophil membrane-coated circular RNA nanoparticles for targeted immunotherapy in HER2-positive breast cancer brain metastasis.,2025-Jul-10,Xiaoju Li,Bioinformatics Center of AMMS,fandong1101@126.com
40640499,"Iron-silver-modified quantum dots act as efficient catalysts in anti-cancer multitherapy through controlled, ultrasound-induced oxidation.",2025-Jul-10,Sergio Brovelli,Dipartimento di Scienza dei Materiali,sergio.brovelli@unimib.it
40640393,A bispecific antibody-drug conjugate targeting EGFR and HER3 in metastatic esophageal squamous cell carcinoma: a phase 1b trial.,2025-Jul-10,Yi Zhu; Hai Zhu; Sa Xiao,Baili-Bio (Chengdu) Pharmaceutical Co. Ltd.; Sichuan Biokin Pharmaceutical Co. Ltd.,goodjf@163.com
40640119,DKN-01 and tislelizumab as second-line therapy in DKK1-high gastroesophageal adenocarcinoma: DisTinGuish trial part B.,2025-Jul-10,Beodeul Kang; Michael H Kagey; Melissa Stilian; Calvin Jia; Cynthia A Sirard; Jaffer A Ajani,CHA Bundang Medical Center; MD Anderson Cancer Center; Leap Therapeutics,imdoctor@snu.ac.kr
40639721,The Immunological Heterogeneity of Squamous Cell Carcinoma and Adenocarcinoma of the Uterine Cervix: a Systematic Review.,2025-Jul-08,George Louis Burchell,Amsterdam UMC,td.degruijl@amsterdamumc.nl
